24	20	 4.340181e-02	 4.480417e-04
24	21	 3.950674e-02	 4.106882e-04
24	22	 3.600914e-02	 3.775056e-04
24	23	 3.283388e-02	 3.475053e-04
24	24	 2.995804e-02	 3.207460e-04
24	25	 2.733632e-02	 2.964996e-04
24	26	 2.497258e-02	 2.750770e-04
24	27	 2.279217e-02	 2.555262e-04
24	28	 2.078583e-02	 2.377992e-04
24	29	 1.899245e-02	 2.223313e-04
24	30	 1.736736e-02	 2.089206e-04
24	31	 1.588641e-02	 1.969849e-04
24	32	 1.455895e-02	 1.864990e-04
24	33	 1.335263e-02	 1.776089e-04
24	34	 1.228850e-02	 1.701329e-04
24	35	 1.131573e-02	 1.636492e-04
24	36	 1.040377e-02	 1.579275e-04
24	37	 9.573130e-03	 1.532509e-04
24	38	 8.839470e-03	 1.497679e-04
24	39	 8.200523e-03	 1.471026e-04
24	40	 7.612572e-03	 1.449668e-04
24	41	 7.093731e-03	 1.435224e-04
24	42	 6.624749e-03	 1.429738e-04
24	43	 6.209143e-03	 1.429359e-04
24	44	 5.833507e-03	 1.433727e-04
24	45	 5.498539e-03	 1.440241e-04
24	46	 5.201501e-03	 1.448289e-04
24	47	 4.947890e-03	 1.462335e-04
24	48	 4.755848e-03	 1.479984e-04
24	49	 4.578467e-03	 1.495036e-04
24	50	 4.437368e-03	 1.517714e-04
24	51	 4.322209e-03	 1.539314e-04
24	52	 4.249535e-03	 1.562795e-04
24	53	 4.210571e-03	 1.582236e-04
24	54	 4.221032e-03	 1.597340e-04
24	55	 4.210571e-03	 1.582236e-04
24	56	 4.249535e-03	 1.562795e-04
24	57	 4.322209e-03	 1.539314e-04
24	58	 4.437368e-03	 1.517714e-04
24	59	 4.578467e-03	 1.495036e-04
24	60	 4.755848e-03	 1.479984e-04
24	61	 4.947890e-03	 1.462335e-04
24	62	 5.201501e-03	 1.448289e-04
24	63	 5.498539e-03	 1.440241e-04
24	64	 5.833507e-03	 1.433727e-04
24	65	 6.209143e-03	 1.429359e-04
24	66	 6.624749e-03	 1.429738e-04
24	67	 7.093731e-03	 1.435224e-04
24	68	 7.612572e-03	 1.449668e-04
24	69	 8.200523e-03	 1.471026e-04
24	70	 8.839470e-03	 1.497679e-04
24	71	 9.573130e-03	 1.532509e-04
24	72	 1.040377e-02	 1.579275e-04
24	73	 1.131573e-02	 1.636492e-04
24	74	 1.228850e-02	 1.701329e-04
24	75	 1.335263e-02	 1.776089e-04
24	76	 1.455895e-02	 1.864990e-04
24	77	 1.588641e-02	 1.969849e-04
24	78	 1.736736e-02	 2.089206e-04
24	79	 1.899245e-02	 2.223313e-04
24	80	 2.078583e-02	 2.377992e-04
24	81	 2.279217e-02	 2.555262e-04
24	82	 2.497258e-02	 2.750770e-04
24	83	 2.733632e-02	 2.964996e-04
24	84	 2.995804e-02	 3.207460e-04
24	85	 3.283388e-02	 3.475053e-04
24	86	 3.600914e-02	 3.775056e-04
24	87	 3.950674e-02	 4.106882e-04
24	88	 4.340181e-02	 4.480417e-04
24	89	 4.766495e-02	 4.891553e-04
24	90	 5.236554e-02	 5.348405e-04
24	91	 5.759552e-02	 5.859151e-04
24	92	 6.341776e-02	 6.429885e-04
24	93	 6.994566e-02	 7.071648e-04
24	94	 7.720464e-02	 7.787480e-04
24	95	 8.537596e-02	 8.595161e-04
24	96	 9.460174e-02	 9.509569e-04
24	97	 1.051074e-01	 1.055245e-03
24	98	 1.171755e-01	 1.175233e-03
24	99	 1.311603e-01	 1.314482e-03
24	100	 1.475492e-01	 1.477808e-03
24	101	 1.671610e-01	 1.673426e-03
24	102	 1.910879e-01	 1.912271e-03
24	103	 2.211750e-01	 2.212784e-03
24	104	 2.606672e-01	 2.607407e-03
24	105	 3.160376e-01	 3.160896e-03
24	106	 4.028142e-01	 4.028525e-03
24	107	 5.682846e-01	 5.683185e-03
24	108	 1.000000e+00	 1.000050e-02
36	1	 5.676127e-01	 5.676447e-03
36	2	 4.015497e-01	 4.015817e-03
36	3	 3.143242e-01	 3.143645e-03
36	4	 2.586514e-01	 2.587069e-03
36	5	 2.189617e-01	 2.190378e-03
36	6	 1.888005e-01	 1.889028e-03
36	7	 1.649034e-01	 1.650368e-03
36	8	 1.453980e-01	 1.455679e-03
36	9	 1.291643e-01	 1.293762e-03
36	10	 1.154189e-01	 1.156786e-03
36	11	 1.036410e-01	 1.039528e-03
36	12	 9.347843e-02	 9.384880e-04
36	13	 8.460064e-02	 8.503279e-04
36	14	 7.677135e-02	 7.727314e-04
36	15	 6.984332e-02	 7.041881e-04
36	16	 6.370108e-02	 6.435120e-04
36	17	 5.820974e-02	 5.894296e-04
36	18	 5.330185e-02	 5.412160e-04
36	19	 4.889814e-02	 4.980675e-04
36	20	 4.489464e-02	 4.590143e-04
36	21	 4.127370e-02	 4.238535e-04
36	22	 3.799607e-02	 3.921384e-04
36	23	 3.502156e-02	 3.634570e-04
36	24	 3.229704e-02	 3.373706e-04
36	25	 2.981119e-02	 3.138424e-04
36	26	 2.751273e-02	 2.923162e-04
36	27	 2.546075e-02	 2.731769e-04
36	28	 2.360276e-02	 2.560935e-04
36	29	 2.187374e-02	 2.403899e-04
36	30	 2.031223e-02	 2.264345e-04
36	31	 1.886954e-02	 2.137571e-04
36	32	 1.753997e-02	 2.024708e-04
36	33	 1.630542e-02	 1.922272e-04
36	34	 1.515380e-02	 1.827461e-04
36	35	 1.410105e-02	 1.744636e-04
36	36	 1.316639e-02	 1.674807e-04
36	37	 1.229705e-02	 1.612308e-04
36	38	 1.149878e-02	 1.558168e-04
36	39	 1.078157e-02	 1.513308e-04
36	40	 1.012993e-02	 1.475029e-04
36	41	 9.539759e-03	 1.443518e-04
36	42	 8.997818e-03	 1.417691e-04
36	43	 8.525124e-03	 1.399520e-04
36	44	 8.087816e-03	 1.388529e-04
36	45	 7.738001e-03	 1.382972e-04
36	46	 7.434502e-03	 1.379743e-04
36	47	 7.158843e-03	 1.381927e-04
36	48	 6.903883e-03	 1.383886e-04
36	49	 6.687244e-03	 1.391292e-04
36	50	 6.514436e-03	 1.398939e-04
36	51	 6.380210e-03	 1.412253e-04
36	52	 6.255942e-03	 1.423804e-04
36	53	 6.213618e-03	 1.438312e-04
36	54	 6.190926e-03	 1.449538e-04
36	55	 6.213618e-03	 1.438312e-04
36	56	 6.255942e-03	 1.423804e-04
36	57	 6.380210e-03	 1.412253e-04
36	58	 6.514436e-03	 1.398939e-04
36	59	 6.687244e-03	 1.391292e-04
36	60	 6.903883e-03	 1.383886e-04
36	61	 7.158843e-03	 1.381927e-04
36	62	 7.434502e-03	 1.379743e-04
36	63	 7.738001e-03	 1.382972e-04
36	64	 8.087816e-03	 1.388529e-04
